Ticker,Name,Sector,Industry,Market Cap,PE Ratio,Dividend Yield
360ONE.NS,360 ONE WAM LIMITED,Financial Services,Asset Management,398172815360,46.38041,0.0093
3MINDIA.NS,3M INDIA LIMITED,Industrials,Conglomerates,403290587136,66.03217,0.0045
ABB.NS,ABB INDIA LIMITED,Industrials,Specialty Industrial Machinery,1647909666816,101.98582,0.0043
ACC.NS,ACC LIMITED,Basic Materials,Building Materials,439862755328,19.773726,0.0032
AWL.NS,ADANI WILMAR LIMITED,Consumer Defensive,Packaged Foods,484520689664,89.18661,N/A
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Financial Services,Financial Conglomerates,585207775232,17.050797,N/A
ABFRL.NS,ADITYA BIRLA FASHION & RT,Consumer Cyclical,Apparel Manufacturing,320388333568,N/A,N/A
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing,292365467648,50.087196,0.012
AETHER.NS,AETHER INDUSTRIES LIMITED,Basic Materials,Specialty Chemicals,118522404864,141.09004,N/A
AFFLE.NS,AFFLE (INDIA) LIMITED,Communication Services,Advertising Agencies,228291313664,70.51948,N/A
AJANTPHARM.NS,AJANTA PHARMA LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,393422831616,46.392696,0.0112
APLLTD.NS,ALEMBIC PHARMA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,210892455936,33.53861,0.010299999
ALKEM.NS,ALKEM LABORATORIES LTD.,Healthcare,Drug Manufacturers - Specialty & Generic,733860069376,35.709507,0.0016
ALKYLAMINE.NS,ALKYL AMINES CHEM. LTD,Basic Materials,Specialty Chemicals,108154847232,72.99,0.0047999998
ALLCARGO.NS,ALLCARGO LOGISTICS LTD,Industrials,Integrated Freight & Logistics,67901448192,215.625,0.0147
ALOKINDS.NS,ALOK INDUSTRIES LIMITED,Consumer Cyclical,Textile Manufacturing,132671201280,N/A,N/A
ARE&M.NS,AMARA RAJA ENERGY MOB LTD,Industrials,Electrical Equipment & Parts,276010860544,28.004644,0.0067000003
AMBER.NS,AMBER ENTERPRISES (I) LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",150036086784,93.895226,N/A
AMBUJACEM.NS,AMBUJA CEMENTS LTD,Basic Materials,Building Materials,1519252275200,41.0926,0.0032
ANANDRATHI.NS,ANAND RATHI WEALTH LTD,Financial Services,Asset Management,161840365568,66.23853,0.0036000002
ANGELONE.NS,ANGEL ONE LIMITED,Financial Services,Capital Markets,231466418176,18.642467,0.0150999995
ANURAS.NS,ANUPAM RASAYAN INDIA LTD,Basic Materials,Specialty Chemicals,84331315200,88.35443,0.0034
APARINDS.NS,APAR INDUSTRIES LTD.,Industrials,Electrical Equipment & Parts,353081360384,41.635326,0.0058
APOLLOHOSP.NS,APOLLO HOSPITALS ENTER. L,Healthcare,Medical Care Facilities,986163773440,94.941864,0.0023
APOLLOTYRE.NS,APOLLO TYRES LTD,Consumer Cyclical,Auto Parts,317741006848,19.527712,0.012
APTUS.NS,APTUS VALUE HSG FIN I LTD,Financial Services,Mortgage Finance,160944209920,25.148438,0.0156
ACI.NS,ARCHEAN CHEMICAL IND LTD,Basic Materials,Chemicals,88038121472,32.61088,0.0078
ASAHIINDIA.NS,ASAHI INDIA GLASS LIMITED,Consumer Cyclical,Auto Parts,157437247488,52.229843,0.0032
ASHOKLEY.NS,ASHOK LEYLAND LTD,Industrials,Farm & Heavy Construction Machinery,739100196864,30.240387,0.03
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,Specialty Chemicals,3036058222592,59.811108,0.0106
ASTERDM.NS,ASTER DM HEALTHCARE LTD.,Healthcare,Medical Care Facilities,201001664512,128.40764,0.0099
ASTRAZEN.NS,ASTRAZENECA PHARMA IND LT,Healthcare,Drug Manufacturers - Specialty & Generic,171664998400,179.61287,0.0036000002
ASTRAL.NS,ASTRAL LIMITED,Industrials,Building Products & Equipment,518651609088,95.06401,0.002
ATUL.NS,ATUL LTD,Basic Materials,Specialty Chemicals,234249273344,70.823845,0.0025
AUROPHARMA.NS,AUROBINDO PHARMA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,905934995456,25.93615,0.0029
AVANTIFEED.NS,AVANTI FEEDS LIMITED,Consumer Defensive,Packaged Foods,92783525888,24.461206,0.0101
DMART.NS,AVENUE SUPERMARTS LIMITED,Consumer Defensive,Discount Stores,3272145633280,125.71,N/A
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,Banks - Regional,3656728444928,13.758581,0.0008
BEML.NS,BEML LIMITED,Industrials,Conglomerates,160545783808,56.07491,0.0082
BLS.NS,BLS INTL SERVS LTD,Industrials,Specialty Business Services,176422469632,49.344074,0.0023
